of_list;of_pen_list;rr_round_list;of_val_list;RMSE_val_list;Var7
301.9166498;301.9166917;44;215.2004958;20.74610787;10479
301.8632927;301.8633346;44;215.042842;20.73850727;10479
301.7137473;301.7137892;44;215.0239394;20.73759578;10479
301.6929486;301.6929905;44;214.9703054;20.7350093;10479
301.6589994;301.6590413;44;214.823572;20.72793149;10479
301.6258055;301.6258473;44;214.7186264;20.72286787;10479
301.5896695;301.5897114;45;214.5897444;20.71664762;10479
301.3489904;301.3490323;45;214.6716321;20.7206;10479
301.3372428;301.3372847;45;214.6465845;20.71939113;10479
301.2901932;301.2902562;247;214.5645142;20.71542972;10479
312.7440685;312.7441104;45;223.0432249;21.12075874;10479
302.1535182;302.153561;47;214.3975994;20.70737064;10479
302.2785614;302.2786033;45;214.659304;20.72000502;10479
302.0822739;302.0823158;45;214.1172199;20.69382613;10479
302.0722773;302.0723306;88;214.1690871;20.69633239;10479
306.1577279;306.1577698;47;218.3316099;20.89648822;10479
302.0197744;302.0198162;47;214.2853992;20.70195156;10479
301.9937145;301.9937597;58;214.3619305;20.70564804;10479
302.7666572;302.7666991;47;215.4067001;20.75604491;10479
301.9594079;301.9594601;85;214.339778;20.70457814;10479
305.5402901;305.540332;48;217.8781892;20.87477852;10479
301.9438674;301.9439093;48;214.2265091;20.6991067;10479
301.9245177;301.9245596;49;214.162978;20.69603721;10479
301.7760608;301.7761027;49;213.79634;20.67831425;10479
301.7406623;301.7407041;49;213.7110319;20.67418835;10479
301.7178138;301.7178557;49;213.5902239;20.6683441;10479
301.6956932;301.6957543;197;213.581405;20.66791741;10479
310.4342016;310.4342434;49;221.1800573;21.03235875;10479
301.7297122;301.7318111;49;213.6169776;20.66963849;10479
301.6211874;301.6234641;62;213.3705368;20.65771221;10479
302.3266272;302.3287261;50;214.328913;20.70405337;10479
301.5910191;301.5931179;51;213.1753954;20.64826362;10479
301.5373462;301.5394451;51;213.1315295;20.64613908;10479
301.5288666;301.5309655;51;213.1283139;20.64598333;10479
301.4834708;301.486644;280;212.9669969;20.63816837;10479
312.2873728;312.2894717;51;222.1724954;21.07949219;10479
301.5945479;301.5966468;51;213.1290681;20.64601986;10479
301.5721025;301.5742014;51;213.0856975;20.64391908;10479
301.5479454;301.5510683;230;213.0261436;20.64103406;10479
311.3599634;311.3620622;51;221.4309556;21.04428453;10479
301.4974741;301.4998745;73;212.8593862;20.63295355;10479
303.1083198;303.1104186;51;214.9236311;20.73275819;10479
301.4670054;301.4691042;51;212.7030973;20.62537744;10479
301.4572327;301.4593314;51;212.6576176;20.62317229;10479
301.3209317;301.3238497;155;212.681868;20.62434814;10479
308.2026673;308.204766;51;219.0930268;20.93289406;10479
301.3726353;301.3750061;69;212.603827;20.62056386;10479
302.7353364;302.7374351;51;214.4496358;20.70988343;10479
301.4059173;301.4080159;51;212.6750608;20.62401808;10479
301.3753567;301.3784417;213;212.6663703;20.62359669;10479
310.2016923;310.2037909;52;220.5822571;21.00391664;10479
301.3674348;301.3695334;52;212.5273951;20.61685694;10479
301.3247838;301.3274761;102;212.2990016;20.60577597;10479
305.1543041;305.1564026;53;216.547344;20.81092713;10479
301.2950996;301.2971981;55;212.2229251;20.60208364;10479
301.2452288;301.2473273;55;212.1317328;20.5976568;10479
301.2383678;301.2404663;56;212.0906671;20.595663;10479
301.2320329;301.2341313;56;212.0832399;20.59530237;10479
301.2143867;301.2164851;56;212.1069923;20.59645563;10479
301.2012595;301.2033579;56;212.1008384;20.59615684;10479
301.1896051;301.1917036;56;212.1155723;20.5968722;10479
301.177846;301.1799445;57;212.0883994;20.59555289;10479
301.1668991;301.1689975;58;212.0790587;20.59509936;10479
301.1535809;301.1556794;58;212.0681393;20.59456915;10479
301.1313815;301.1334798;59;212.0259851;20.59252219;10479
301.0144962;301.0165945;59;212.1062672;20.59642043;10479
300.9905692;300.9926675;59;212.0090139;20.59169803;10479
300.9780406;300.9801388;59;211.9663514;20.5896261;10479
300.8877572;300.8898554;59;211.6606839;20.57477504;10479
300.8740786;300.8761768;59;211.6460895;20.57406569;10479
300.8590172;300.8616112;96;211.6130928;20.57246182;10479
304.0113379;304.0146205;2258;215.2515857;20.74857034;10479
316.4539197;316.4560183;59;224.4847682;21.18890125;10479
