of_list;of_round_list;rr_round_list;of_val_list;of_round_val_list;RMSE_val_list;RMSE_round_val_list;MAPE_val_list;MAPE_round_val_list;Var10
312.783188173223;17249.7181894206;57;226.115599468957;17527.0645779281;21.2657282719853;187.227479702783;Inf;Inf;10479
312.716924235914;17249.7181894206;57;226.145383739454;17527.0645779281;21.2671288019542;187.227479702783;Inf;Inf;10479
312.653259452972;17249.7181894206;57;226.167080679636;17527.0645779281;21.2681489876122;187.227479702783;Inf;Inf;10479
312.59208120239;17249.7181894206;57;225.929847190625;17527.0645779281;21.2569916587755;187.227479702783;Inf;Inf;10479
312.566174024115;17249.7181894206;57;225.879892112082;17527.0645779281;21.2546414748441;187.227479702783;Inf;Inf;10479
312.514375976224;17249.7181894206;57;225.787758661618;17527.0645779281;21.2503062877511;187.227479702783;Inf;Inf;10479
312.436117029597;17249.7181894206;57;225.767120373184;17527.0645779281;21.2493350659819;187.227479702783;Inf;Inf;10479
312.413686877514;17249.7181894206;57;225.786416836747;17527.0645779281;21.2502431438677;187.227479702783;Inf;Inf;10479
312.392391264976;17249.7181894206;57;225.863337804342;17527.0645779281;21.2538626044464;187.227479702783;Inf;Inf;10479
312.35630216079;17249.7181894206;57;225.892083418254;17527.0645779281;21.2552150503472;187.227479702783;Inf;Inf;10479
312.334637835849;17205.756387593;58;225.88201675106;17483.8488280808;21.254741435786;186.996517764801;Inf;Inf;10479
312.276866938338;17205.756387593;58;225.693294103049;17483.8488280808;21.2458604957789;186.996517764801;Inf;Inf;10479
310.567932772418;17205.756387593;58;226.394313616106;17483.8488280808;21.2788304949359;186.996517764801;Inf;Inf;10479
310.531335239028;17205.756387593;58;226.177447432008;17483.8488280808;21.2686364128972;186.996517764801;Inf;Inf;10479
310.500200286108;17205.756387593;58;226.046462231229;17483.8488280808;21.2624769126849;186.996517764801;Inf;Inf;10479
310.444625116234;17205.756387593;58;225.862097473883;17483.8488280808;21.2538042464818;186.996517764801;Inf;Inf;10479
310.402054036013;17205.756387593;58;225.613955690829;17483.8488280808;21.2421258677576;186.996517764801;Inf;Inf;10479
310.36641012316;17205.756387593;58;225.475828444408;17483.8488280808;21.2356223569929;186.996517764801;Inf;Inf;10479
310.323935986019;6261.80908226793;159;225.287404994568;6170.13897965242;21.2267475131998;111.086803713604;Inf;Inf;10479
319.596187854603;17452.4287889518;60;228.219099746891;17684.1040183262;21.3644143260185;188.064372055561;Inf;Inf;10479
310.179640127597;3642.99154866295;257;225.145280786734;3568.71394148437;21.2200509323957;84.4832994323064;Inf;Inf;10479
322.341186778661;17452.4287889518;60;229.354371355257;17684.1040183262;21.417486843944;188.064372055561;Inf;Inf;10479
309.995643765323;6360.93840802301;165;225.12412359567;6267.91116786653;21.2190538712578;111.96348661833;Inf;Inf;10479
319.071562879732;17183.0312338119;61;228.030353406019;17410.6023965338;21.355577885228;186.604407217696;Inf;Inf;10479
310.070726589572;22621.9074777591;62;225.3304339458;22829.4935595879;21.2287745263734;213.679636650701;Inf;Inf;10479
309.795969914888;22621.9074777591;62;224.746837990498;22829.4935595879;21.2012659051528;213.679636650701;Inf;Inf;10479
309.724365797046;22387.2175995363;61;224.294257253558;22600.8114438239;21.1799082742848;212.606732931128;Inf;Inf;10479
309.678999041173;8733.21236616965;151;224.381860804921;8621.53914643981;21.1840440334192;131.3129022331;Inf;Inf;10479
318.097221472443;24905.8331066498;62;227.169267905688;25105.5643223106;21.3152184087186;224.07839843372;Inf;Inf;10479
309.596315360591;24905.8331066498;62;224.279315185704;25105.5643223106;21.1792027794109;224.07839843372;Inf;Inf;10479
309.530828721703;24905.8331066498;62;223.943905159628;25105.5643223106;21.1633600904784;224.07839843372;Inf;Inf;10479
309.460300518394;24905.8331066498;62;223.655731093382;25105.5643223106;21.149739057179;224.07839843372;Inf;Inf;10479
309.439727162325;24905.8331066498;62;223.622544078301;25105.5643223106;21.1481698535973;224.07839843372;Inf;Inf;10479
309.360295349574;24905.8331066498;62;223.383327992932;25105.5643223106;21.1368553949225;224.07839843372;Inf;Inf;10479
309.316762988652;24609.5486997154;63;223.275197037852;24852.2003100318;21.131739021569;222.944837616984;Inf;Inf;10479
309.255971266711;23655.4052283794;64;222.982987232873;23813.6260834265;21.1179064887064;218.236688406998;Inf;Inf;10479
306.971383240031;23655.4052283794;64;223.578205841488;23813.6260834265;21.1460731977116;218.236688406998;Inf;Inf;10479
